Name,Rating,Episodes,Genre,StartDate,EndDate,Studio,Synopsis,SourceMaterial,AgeRating
Naruto,8.4,720, Action/Adventure/Fantasy,10/3/2002,2/8/2007,Pierrot,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.",Manga,PG-13
One Piece ,8.72,1138,Action/Adventure/Fantasy,10/20/1999,Ongoing,Toei Animation,"The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.",Manga,PG-13
Black Clover,8.14,170,Action/Fantasy,10/3/2017,Ongoing,Pierrot,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically.",Manga,PG-13
Crimson Blade Chronicles,8.7,24,Action/Fantasy,4/5/2023,Ongoing,Studio Zephyr,A young warrior seeks to avenge his fallen clan with a legendary blade.,Original,PG-13
Whispers of the Stardust,7.9,13,Sci-Fi/Mystery,10/1/2022,12/24/2022,Cosmic Arts,"In a future where stars hold secrets, a detective uncovers a cosmic conspiracy.",Light Novel,PG
Sakura High School Delinquents,7.2,12,Comedy/Slice of Life,7/8/2021,9/23/2021,Bright Spark Studio,A group of misunderstood high school delinquents try to live normal lives.,Manga,PG-13
The Last Mage's Legacy,8.5,50,Fantasy/Adventure,1/15/2020,12/10/2020,Mythos Animation,An orphan discovers he's the last descendant of an ancient magical lineage.,Original,PG
Cybernetic Dreams,8.1,26,Sci-Fi/Drama,4/3/2019,9/25/2019,Neo Horizon,Explores the ethical dilemmas of advanced AI and human consciousness.,Original,R
Dragon's Breath Academy,7.5,36,Action/Fantasy,1/7/2021,9/9/2021,Dragonfly Studios,Students at a prestigious academy learn to harness the power of dragons.,Manga,PG
Midnight Serenade,8.3,12,Romance/Music,1/10/2023,Ongoing,Harmony Pictures,A talented but shy musician finds love and inspiration in the city's nightlife.,Original,PG
Chronicles of Aethel,9,75,Fantasy/Epic,7/1/2018,3/15/2020,Grand Saga Works,A sprawling epic detailing the rise and fall of ancient kingdoms and heroes.,Light Novel,PG-13
Gourmet Quest,7.8,24,Comedy/Food,4/6/2022,9/21/2022,Tasteful Animation,A chef travels the world in search of the ultimate ingredients and recipes.,Manga,G
Shadow Walker's Path,8.6,12,Action/Supernatural,10/2/2023,Ongoing,Dark Moon Studio,A mysterious figure with supernatural powers protects the city from hidden threats.,Original,PG-13
Starlight Crusaders,8,48,Sci-Fi/Mecha,10/5/2020,9/27/2021,Galactic Forge,Humanity fights for survival against an alien invasion with giant mechs.,Original,PG-13
